0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
0,0,640,360,10,5;640,360,1280,720,2,1
